objects_moved,hiders_movement,seekers_movement,hiders_reward,seekers_reward
0,34.252934479456826,16.963348584504033,-32.0,32.0
0,31.911356349639462,22.283538635101362,2.0,-2.0
28,34.12611227753127,19.925816855148476,40.0,-40.0
0,31.78011658362984,20.53842716803621,-24.0,24.0
0,39.2605980297394,20.287946315163495,-20.0,20.0
47,33.616330988347976,21.379728115326316,-32.0,32.0
28,33.166693118563515,20.828663099490914,-24.0,24.0
65,32.16891803940622,19.468228904248846,-34.0,34.0
17,34.11822448466741,21.774867630539248,-38.0,38.0
19,38.61961985889641,20.85207707849404,-36.0,36.0
30,38.70675643568819,19.900410699728216,10.0,-10.0
18,35.48174532904108,24.264372540344272,-26.0,26.0
57,35.01623201161021,18.624304920103544,-14.0,14.0
75,37.498334271452876,18.03041151582364,-36.0,36.0
0,32.15954629201553,20.457396651754564,10.0,-10.0
34,31.748779028622383,20.59555304060121,-12.0,12.0
52,33.53287031110703,20.34914884730418,-2.0,2.0
4,36.1348041740033,20.18174139072175,26.0,-26.0
33,34.169883566170824,20.942906054477177,-4.0,4.0
22,32.17863431333768,22.560482971475288,12.0,-12.0
69,33.6380824985967,20.74554750368549,-12.0,12.0
54,32.30115672461356,18.742135562361455,14.0,-14.0
18,32.82280034856774,20.978874606693072,-4.0,4.0
0,33.28416149517516,20.70832163362767,-46.0,46.0
0,35.17791260297727,18.622601459472776,-46.0,46.0
50,31.810194041689037,20.643687788996946,-8.0,8.0
0,37.39558126992449,21.708265660068022,-12.0,12.0
0,35.1546731934742,20.30891161385259,-24.0,24.0
28,32.72708339480836,21.931341194207523,-16.0,16.0
15,36.475666456614434,21.344090026157172,4.0,-4.0
0,37.40097528315469,20.43752826316264,-18.0,18.0
24,34.146644570348016,22.221001126173373,-16.0,16.0
24,34.67998803405862,25.15938445834384,10.0,-10.0
46,31.887831068199514,21.870175282258298,48.0,-48.0
28,37.151160278202966,20.913648325573554,22.0,-22.0
7,34.76711927311868,20.56875522642031,-48.0,48.0
