objects_moved,hiders_movement,seekers_movement,hiders_reward,seekers_reward
3,15.737871649209605,10.714963441606587,-48.0,48.0
0,7.768051060457025,16.55337452207496,-2.0,2.0
25,20.68029364702937,14.025284412501746,-32.0,32.0
41,14.71606927942428,7.09912197627346,-48.0,48.0
7,16.734747428858928,10.14314241673698,-48.0,48.0
22,14.104232052948456,13.56945705807168,-48.0,48.0
51,22.128488462611767,16.662108331669824,-24.0,24.0
54,7.184531785842348,21.797932148866714,-12.0,12.0
0,15.132551750695312,18.770590128976313,-36.0,36.0
0,20.81887313144943,14.553290083767887,-48.0,48.0
52,22.820441347592137,16.089721175924034,-40.0,40.0
79,13.107883927220643,8.65325518532325,-46.0,46.0
0,9.461655767758463,7.324539013986775,-48.0,48.0
46,28.229799377920724,9.514668164595035,-40.0,40.0
73,18.52420098870505,17.056633489220694,-44.0,44.0
69,16.740174035427604,15.954996432619632,-18.0,18.0
22,14.157318771970044,10.777439497043085,-48.0,48.0
86,12.98120384157268,17.74285805629515,-30.0,30.0
65,24.218265611294292,4.712196368975359,-48.0,48.0
22,24.06605130644463,7.189768633338626,-36.0,36.0
0,7.141336348917089,8.721384179735463,-48.0,48.0
0,13.835390771150259,14.094365807526964,-26.0,26.0
0,12.848825780334966,7.231605805635544,-48.0,48.0
0,13.902594757004223,13.919481122824092,-28.0,28.0
0,30.345617466805567,9.602590302540076,-48.0,48.0
41,25.86268149606801,20.834185272647687,48.0,-48.0
65,19.667915016135165,20.469588594969345,38.0,-38.0
33,11.856655945699197,14.565627041258898,-32.0,32.0
69,13.644018428116334,11.552252807973705,-48.0,48.0
23,20.411438065298007,16.357322899724107,-12.0,12.0
0,17.304904529643096,16.914175389558718,-12.0,12.0
48,22.034272319995928,17.066759462248264,-24.0,24.0
7,9.551355075408376,9.98949032888136,-48.0,48.0
18,8.76670340183704,14.809278503574081,2.0,-2.0
19,8.785778433583003,18.600793261300762,-36.0,36.0
15,13.474650062756915,16.92991605719139,-34.0,34.0
0,14.214339845717255,11.468120601128083,-40.0,40.0
64,12.452070745813442,16.05840199387868,-44.0,44.0
74,12.795832965490787,13.121015170461629,-48.0,48.0
0,15.180503088329898,7.867216256946555,-44.0,44.0
21,15.011502895220813,19.401287202321313,-2.0,2.0
6,25.71462823594303,13.850602552282274,0.0,0.0
0,10.366199220765942,5.212644955070302,-48.0,48.0
0,9.526032846612509,10.47114306755051,-44.0,44.0
0,16.974294526237518,15.920457710484154,-24.0,24.0
76,6.582001708339834,18.208922064133848,-16.0,16.0
8,22.01280568613527,15.19490632166941,-40.0,40.0
49,25.460903861167004,12.940247108949487,-48.0,48.0
0,12.467490673941363,12.942125695165617,-48.0,48.0
0,19.018360125476292,12.784710698168706,-42.0,42.0
68,7.34246639988282,16.175072434886463,-36.0,36.0
0,12.263833376962358,9.094512502938224,-48.0,48.0
25,31.93905718873461,10.95758842520686,-30.0,30.0
0,8.664169170554123,10.537157623213465,-48.0,48.0
0,14.634747393815136,11.673610684525618,-46.0,46.0
47,24.422413036543652,8.186765392217762,-44.0,44.0
40,20.130726090228734,14.513268665074762,-20.0,20.0
26,13.962279378497636,16.53014344290109,-16.0,16.0
47,11.878138331232236,12.31354526061958,-40.0,40.0
56,11.367528940817646,21.33226598610639,16.0,-16.0
0,17.12851804965521,11.091619540392964,-32.0,32.0
51,7.932934551413683,10.270149891817255,-48.0,48.0
0,13.452721921331529,9.695758551594798,-48.0,48.0
0,12.858940363565955,12.842990496520548,-42.0,42.0
0,15.879141217454634,7.713913295299779,-48.0,48.0
21,14.817342521588364,17.028076171392744,-40.0,40.0
1,16.166141392867498,10.13034853181011,-28.0,28.0
50,25.598420645009142,8.501576603561821,-46.0,46.0
0,11.562260082875707,15.200805203764505,-40.0,40.0
73,13.193826305764706,12.730227163281853,-46.0,46.0
20,17.283130258624446,17.605330553597017,-8.0,8.0
86,24.04977379284412,22.033149604021972,-16.0,16.0
0,8.063951370580336,5.851261678613354,-48.0,48.0
23,17.596947268514942,6.746892442305425,-48.0,48.0
0,19.599341615409802,9.524411220596527,-48.0,48.0
42,9.707684842647321,9.648015335579968,-48.0,48.0
8,13.201808308551675,11.69252429233583,-38.0,38.0
0,18.282315275918158,15.62865439187216,-22.0,22.0
23,14.212089841368106,8.297873647940389,-48.0,48.0
0,19.015848925744116,7.850773466261214,-48.0,48.0
45,23.098823628788843,17.81605513619695,-22.0,22.0
0,14.919769422215094,15.856784978822008,-42.0,42.0
0,8.661524314940584,19.883531343744913,-6.0,6.0
20,23.864805726492076,13.785261997004133,-42.0,42.0
93,18.4952449411452,16.689424145156035,-14.0,14.0
79,20.345826669915727,19.730929909789793,40.0,-40.0
47,22.369803358272797,19.122161778305152,0.0,0.0
76,12.971339073924163,14.870375399757318,-46.0,46.0
0,4.72176529154806,20.51087848930362,-18.0,18.0
21,19.908254304671274,15.548917745661388,-36.0,36.0
0,18.47068260917216,14.01134239349067,-38.0,38.0
15,23.28959985415251,15.072920231035942,-30.0,30.0
27,26.48177674733478,18.25411469324785,-36.0,36.0
0,15.078364982926336,10.470461135782324,-48.0,48.0
0,14.570231086825597,7.756416978911199,-48.0,48.0
0,13.598135488967694,10.412457546190515,-46.0,46.0
70,21.487792467039263,14.017404739728564,-48.0,48.0
40,13.70549969965989,20.674351726203938,8.0,-8.0
5,20.124609704416432,12.941831140447311,-42.0,42.0
0,15.271033274946978,9.652980216903591,-48.0,48.0
0,6.864591380501053,17.857031402477624,-44.0,44.0
39,19.164377148112692,13.528443649095884,-28.0,28.0
85,20.45432967585045,18.391195070929285,-34.0,34.0
40,25.873760393850038,21.558021229544373,2.0,-2.0
39,21.501927564795565,24.429138170765523,30.0,-30.0
42,17.321033824577132,19.433509895892957,-22.0,22.0
16,11.637700279550675,10.189273958270622,-38.0,38.0
54,11.05874327059114,14.555857770459468,-46.0,46.0
21,16.78846375818856,9.18136151596009,-46.0,46.0
41,12.888010759318854,15.942468962153542,-34.0,34.0
82,19.93970896261775,16.071488435671704,-30.0,30.0
6,18.516147509761865,11.374641536793822,-44.0,44.0
27,15.571914675671067,12.868555389211155,-42.0,42.0
43,15.609283471064591,13.796319744548075,-26.0,26.0
44,24.41203998063672,11.312762787588644,-48.0,48.0
57,12.1541539820958,11.766271405323938,-42.0,42.0
0,15.647473629945475,12.695867397161857,-44.0,44.0
55,10.693282401779921,9.98086713184001,-42.0,42.0
78,32.03255669459725,16.386591184382752,-38.0,38.0
15,16.953771158227713,16.40284177114376,-26.0,26.0
80,26.2232687188282,16.694788771122585,-22.0,22.0
64,19.294004991117404,11.241675281316313,-46.0,46.0
0,6.822774480144772,11.635538014300959,-40.0,40.0
0,17.675611688594532,11.842577675278605,-48.0,48.0
40,24.5379442784331,13.564286789971181,-26.0,26.0
33,8.739697669608741,14.650462903837859,-36.0,36.0
49,22.828800988689245,10.041169546550334,-40.0,40.0
15,11.894746316351288,18.78781900904965,-14.0,14.0
0,10.911653976357664,6.223339656756193,-48.0,48.0
0,20.382043142119418,12.030048979567267,-48.0,48.0
0,15.459208202752773,18.749968527947825,-12.0,12.0
10,27.99130077517687,16.05641019069472,-42.0,42.0
33,7.069987070121762,4.272174123039736,-48.0,48.0
39,13.28432668288014,9.947927416344221,-48.0,48.0
31,13.712118269593088,8.123663932926139,-46.0,46.0
28,5.064215299475681,11.85624047339174,-42.0,42.0
31,29.28203098911082,8.814904731816343,-44.0,44.0
0,28.516978527631046,10.756200560974,-48.0,48.0
0,14.870121733075713,14.71790054896909,-28.0,28.0
46,17.604438893354608,22.12773477336575,0.0,0.0
101,30.110921920475395,18.823477062878375,42.0,-42.0
7,25.234412400383516,10.517955450018082,-46.0,46.0
8,12.298982362325367,17.285433305576273,-32.0,32.0
0,19.383580682667365,8.124388073423624,-46.0,46.0
101,27.379991465073132,10.491105139821883,-46.0,46.0
